student_id,student_name,class,question_id,knowledge_point,competency,difficulty,full_score,score,is_correct,error_type
S01,学生01,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S01,学生01,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S01,学生01,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S01,学生01,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S01,学生01,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S01,学生01,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S01,学生01,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S01,学生01,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,3,0,应用迁移不足
S02,学生02,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S02,学生02,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,5,1,
S02,学生02,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,5,1,
S02,学生02,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S02,学生02,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S02,学生02,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S02,学生02,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,7,1,
S02,学生02,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,6,1,
S03,学生03,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S03,学生03,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S03,学生03,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S03,学生03,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S03,学生03,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S03,学生03,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S03,学生03,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S03,学生03,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,4,0,应用迁移不足
S04,学生04,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,4,1,
S04,学生04,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S04,学生04,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S04,学生04,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,1,0,推理不严谨
S04,学生04,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S04,学生04,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S04,学生04,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S04,学生04,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,2,0,应用迁移不足
S05,学生05,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S05,学生05,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S05,学生05,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,5,1,
S05,学生05,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S05,学生05,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S05,学生05,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,7,1,
S05,学生05,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,8,1,
S05,学生05,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,7,1,
S06,学生06,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S06,学生06,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S06,学生06,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S06,学生06,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S06,学生06,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S06,学生06,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S06,学生06,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S06,学生06,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S07,学生07,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S07,学生07,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S07,学生07,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S07,学生07,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S07,学生07,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S07,学生07,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,6,1,
S07,学生07,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S07,学生07,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S08,学生08,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S08,学生08,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S08,学生08,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S08,学生08,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S08,学生08,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S08,学生08,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S08,学生08,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S08,学生08,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S09,学生09,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S09,学生09,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S09,学生09,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,5,1,
S09,学生09,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S09,学生09,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,5,1,
S09,学生09,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,6,1,
S09,学生09,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,8,1,
S09,学生09,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,7,1,
S10,学生10,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,4,1,
S10,学生10,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,2,0,数形结合薄弱
S10,学生10,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,2,0,计算失误
S10,学生10,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S10,学生10,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S10,学生10,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,1,0,建模困难
S10,学生10,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S10,学生10,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,1,0,应用迁移不足
S11,学生11,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S11,学生11,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S11,学生11,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S11,学生11,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,5,1,
S11,学生11,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,5,1,
S11,学生11,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,6,1,
S11,学生11,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,7,1,
S11,学生11,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,8,1,
S12,学生12,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S12,学生12,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S12,学生12,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S12,学生12,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S12,学生12,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S12,学生12,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S12,学生12,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S12,学生12,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S13,学生13,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,3,1,
S13,学生13,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,2,0,数形结合薄弱
S13,学生13,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,2,0,计算失误
S13,学生13,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,1,0,推理不严谨
S13,学生13,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S13,学生13,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,1,0,建模困难
S13,学生13,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S13,学生13,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,1,0,应用迁移不足
S14,学生14,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S14,学生14,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S14,学生14,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S14,学生14,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S14,学生14,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,3,1,
S14,学生14,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S14,学生14,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S14,学生14,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S15,学生15,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S15,学生15,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,5,1,
S15,学生15,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S15,学生15,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,4,1,
S15,学生15,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S15,学生15,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S15,学生15,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S15,学生15,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S16,学生16,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,4,1,
S16,学生16,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,3,1,
S16,学生16,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S16,学生16,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S16,学生16,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S16,学生16,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,2,0,建模困难
S16,学生16,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,4,0,审题错误
S16,学生16,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,2,0,应用迁移不足
S17,学生17,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S17,学生17,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S17,学生17,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S17,学生17,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S17,学生17,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S17,学生17,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,5,0,建模困难
S17,学生17,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S17,学生17,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,6,1,
S18,学生18,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S18,学生18,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,5,1,
S18,学生18,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,5,1,
S18,学生18,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,5,1,
S18,学生18,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,5,1,
S18,学生18,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,7,1,
S18,学生18,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,7,1,
S18,学生18,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,7,1,
S19,学生19,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S19,学生19,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S19,学生19,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,4,1,
S19,学生19,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S19,学生19,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S19,学生19,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,3,0,建模困难
S19,学生19,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,5,1,
S19,学生19,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,5,0,应用迁移不足
S20,学生20,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,5,1,
S20,学生20,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,4,1,
S20,学生20,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S20,学生20,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,3,1,
S20,学生20,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,4,1,
S20,学生20,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,4,0,建模困难
S20,学生20,初二(3)班,Q7,从函数图象获取信息,数据观念,中,8,6,1,
S20,学生20,初二(3)班,Q8,一次函数最优方案决策,应用意识,难,10,3,0,应用迁移不足
S21,学生21,初二(3)班,Q1,一次函数的概念,抽象能力,易,5,3,1,
S21,学生21,初二(3)班,Q2,一次函数的图象与性质,几何直观,中,5,2,0,数形结合薄弱
S21,学生21,初二(3)班,Q3,待定系数法求解析式,运算能力,中,5,3,1,
S21,学生21,初二(3)班,Q4,一次函数与方程、不等式,推理能力,中,5,2,0,推理不严谨
S21,学生21,初二(3)班,Q5,k、b 符号与图象的关系,几何直观,中,5,2,0,数形结合薄弱
S21,学生21,初二(3)班,Q6,一次函数的实际应用(建模),模型观念,难,10,1,0,建模困难
